Archetype,Attribute,Base Value,Max Value
Magician,Acceleration,75,95
Magician,SprintSpeed,70,95
Magician,AttackPositioning,80,96
Magician,Finishing,75,99
Magician,ShotPower,70,92
Magician,LongShots,65,96
Magician,Volleys,72,96
Magician,Penalties,75,99
Magician,Vision,75,96
Magician,Crossing,65,92
Magician,FKAccuracy,65,99
Magician,ShortPassing,75,96
Magician,LongPassing,50,92
Magician,Curve,75,99
Magician,Agility,72,99
Magician,Balance,75,99
Magician,Reactions,75,99
Magician,BallControl,75,96
Magician,Dribbling,75,96
Magician,Composure,72,96
Magician,Interceptions,50,82
Magician,HeadingAccuracy,65,85
Magician,DefAwareness,45,82
Magician,StandingTackle,40,75
Magician,SlidingTackle,40,75
Magician,Jumping,60,85
Magician,Stamina,65,92
Magician,Strength,65,90
Magician,Aggression,55,92
Magician,WeakFoot,3,5
Magician,SkillMoves,3,5
Finisher,Acceleration,75,95
Finisher,SprintSpeed,70,95
Finisher,AttackPositioning,80,99
Finisher,Finishing,75,99
Finisher,ShotPower,75,99
Finisher,LongShots,60,96
Finisher,Volleys,75,99
Finisher,Penalties,75,99
Finisher,Vision,65,92
Finisher,Crossing,55,92
Finisher,FKAccuracy,65,99
Finisher,ShortPassing,70,92
Finisher,LongPassing,50,92
Finisher,Curve,70,96
Finisher,Agility,72,99
Finisher,Balance,75,96
Finisher,Reactions,75,99
Finisher,BallControl,75,96
Finisher,Dribbling,70,96
Finisher,Composure,75,99
Finisher,Interceptions,60,85
Finisher,HeadingAccuracy,75,96
Finisher,DefAwareness,55,85
Finisher,StandingTackle,50,75
Finisher,SlidingTackle,40,75
Finisher,Jumping,65,92
Finisher,Stamina,65,92
Finisher,Strength,70,92
Finisher,Aggression,65,96
Finisher,WeakFoot,3,5
Finisher,SkillMoves,3,5
Target,Acceleration,70,90
Target,SprintSpeed,65,92
Target,AttackPositioning,80,96
Target,Finishing,72,96
Target,ShotPower,75,99
Target,LongShots,65,96
Target,Volleys,72,96
Target,Penalties,75,99
Target,Vision,65,92
Target,Crossing,50,90
Target,FKAccuracy,65,99
Target,ShortPassing,75,96
Target,LongPassing,50,92
Target,Curve,55,90
Target,Agility,70,92
Target,Balance,75,92
