Archetype,Attribute,Level,Cost
BOSS,Penalties,99,24
BOSS,Vision,40,1
BOSS,Vision,41,1
BOSS,Vision,42,1
BOSS,Vision,43,1
BOSS,Vision,44,1
BOSS,Vision,45,1
BOSS,Vision,46,1
BOSS,Vision,47,1
BOSS,Vision,48,1
BOSS,Vision,49,1
BOSS,Vision,50,1
BOSS,Vision,51,1
BOSS,Vision,52,1
BOSS,Vision,53,1
BOSS,Vision,54,1
BOSS,Vision,55,1
BOSS,Vision,56,1
BOSS,Vision,57,1
BOSS,Vision,58,1
BOSS,Vision,59,1
BOSS,Vision,60,2
BOSS,Vision,61,2
BOSS,Vision,62,2
BOSS,Vision,63,2
BOSS,Vision,64,3
BOSS,Vision,65,3
BOSS,Vision,66,3
BOSS,Vision,67,3
BOSS,Vision,68,3
BOSS,Vision,69,3
BOSS,Vision,70,4
BOSS,Vision,71,4
BOSS,Vision,72,4
BOSS,Vision,73,4
BOSS,Vision,74,4
BOSS,Vision,75,6
BOSS,Vision,76,6
BOSS,Vision,77,6
BOSS,Vision,78,6
BOSS,Vision,79,6
BOSS,Vision,80,7
BOSS,Vision,81,7
BOSS,Vision,82,7
BOSS,Vision,83,7
BOSS,Vision,84,7
BOSS,Vision,85,11
BOSS,Vision,86,11
BOSS,Vision,87,11
BOSS,Vision,88,11
BOSS,Vision,89,11
BOSS,Vision,90,15
BOSS,Vision,91,15
BOSS,Vision,92,15
BOSS,Vision,93,15
BOSS,Vision,94,15
BOSS,Vision,95,18
BOSS,Vision,96,22
BOSS,Vision,97,26
BOSS,Vision,98,30
BOSS,Vision,99,33
BOSS,Crossing,40,1
BOSS,Crossing,41,1
BOSS,Crossing,42,1
BOSS,Crossing,43,1
BOSS,Crossing,44,1
BOSS,Crossing,45,1
BOSS,Crossing,46,1
BOSS,Crossing,47,1
BOSS,Crossing,48,1
BOSS,Crossing,49,1
BOSS,Crossing,50,1
BOSS,Crossing,51,1
BOSS,Crossing,52,1
BOSS,Crossing,53,1
BOSS,Crossing,54,1
BOSS,Crossing,55,1
BOSS,Crossing,56,1
BOSS,Crossing,57,1
BOSS,Crossing,58,1
BOSS,Crossing,59,1
BOSS,Crossing,60,2
BOSS,Crossing,61,2
BOSS,Crossing,62,2
BOSS,Crossing,63,2
BOSS,Crossing,64,3
BOSS,Crossing,65,3
BOSS,Crossing,66,3
BOSS,Crossing,67,3
BOSS,Crossing,68,3
BOSS,Crossing,69,3
BOSS,Crossing,70,4
BOSS,Crossing,71,4
BOSS,Crossing,72,4
BOSS,Crossing,73,4
BOSS,Crossing,74,4
BOSS,Crossing,75,6
BOSS,Crossing,76,6
BOSS,Crossing,77,6
BOSS,Crossing,78,6
BOSS,Crossing,79,6
BOSS,Crossing,80,7
BOSS,Crossing,81,7
BOSS,Crossing,82,7
BOSS,Crossing,83,7
BOSS,Crossing,84,7
BOSS,Crossing,85,11
BOSS,Crossing,86,11
BOSS,Crossing,87,11
BOSS,Crossing,88,11
BOSS,Crossing,89,11
BOSS,Crossing,90,15
BOSS,Crossing,91,15
BOSS,Crossing,92,15
BOSS,Crossing,93,15
BOSS,Crossing,94,15
BOSS,Crossing,95,18
BOSS,Crossing,96,22
BOSS,Crossing,97,26
BOSS,Crossing,98,30
BOSS,Crossing,99,33
BOSS,FKAccuracy,40,1
BOSS,FKAccuracy,41,1
BOSS,FKAccuracy,42,1
BOSS,FKAccuracy,43,1
BOSS,FKAccuracy,44,1
BOSS,FKAccuracy,45,1
BOSS,FKAccuracy,46,1
BOSS,FKAccuracy,47,1
BOSS,FKAccuracy,48,1
BOSS,FKAccuracy,49,1
BOSS,FKAccuracy,50,1
BOSS,FKAccuracy,51,1
BOSS,FKAccuracy,52,1
BOSS,FKAccuracy,53,1
BOSS,FKAccuracy,54,1
BOSS,FKAccuracy,55,1
BOSS,FKAccuracy,56,1
BOSS,FKAccuracy,57,1
BOSS,FKAccuracy,58,1
BOSS,FKAccuracy,59,1
BOSS,FKAccuracy,60,1
BOSS,FKAccuracy,61,1
BOSS,FKAccuracy,62,1
BOSS,FKAccuracy,63,1
BOSS,FKAccuracy,64,2
BOSS,FKAccuracy,65,2
BOSS,FKAccuracy,66,2
BOSS,FKAccuracy,67,2
BOSS,FKAccuracy,68,2
BOSS,FKAccuracy,69,2
BOSS,FKAccuracy,70,3
BOSS,FKAccuracy,71,3
BOSS,FKAccuracy,72,3
BOSS,FKAccuracy,73,3
BOSS,FKAccuracy,74,3
BOSS,FKAccuracy,75,4
BOSS,FKAccuracy,76,4
BOSS,FKAccuracy,77,4
BOSS,FKAccuracy,78,4
BOSS,FKAccuracy,79,4
BOSS,FKAccuracy,80,5
BOSS,FKAccuracy,81,5
BOSS,FKAccuracy,82,5
BOSS,FKAccuracy,83,5
BOSS,FKAccuracy,84,5
BOSS,FKAccuracy,85,8
BOSS,FKAccuracy,86,8
BOSS,FKAccuracy,87,8
BOSS,FKAccuracy,88,8
BOSS,FKAccuracy,89,8
BOSS,FKAccuracy,90,11
BOSS,FKAccuracy,91,11
BOSS,FKAccuracy,92,11
BOSS,FKAccuracy,93,11
BOSS,FKAccuracy,94,11
BOSS,FKAccuracy,95,13
BOSS,FKAccuracy,96,16
BOSS,FKAccuracy,97,19
BOSS,FKAccuracy,98,22
BOSS,FKAccuracy,99,24
BOSS,ShortPassing,40,2
BOSS,ShortPassing,41,2
BOSS,ShortPassing,42,2
BOSS,ShortPassing,43,2
BOSS,ShortPassing,44,2
BOSS,ShortPassing,45,2
BOSS,ShortPassing,46,2
BOSS,ShortPassing,47,2
BOSS,ShortPassing,48,2
BOSS,ShortPassing,49,2
BOSS,ShortPassing,50,2
BOSS,ShortPassing,51,2
BOSS,ShortPassing,52,2
BOSS,ShortPassing,53,2
BOSS,ShortPassing,54,2
BOSS,ShortPassing,55,2
BOSS,ShortPassing,56,2
BOSS,ShortPassing,57,2
BOSS,ShortPassing,58,2
BOSS,ShortPassing,59,2
BOSS,ShortPassing,60,3
BOSS,ShortPassing,61,3
BOSS,ShortPassing,62,3
BOSS,ShortPassing,63,3
BOSS,ShortPassing,64,4
BOSS,ShortPassing,65,4
BOSS,ShortPassing,66,4
BOSS,ShortPassing,67,5
BOSS,ShortPassing,68,5
BOSS,ShortPassing,69,5
BOSS,ShortPassing,70,6
BOSS,ShortPassing,71,6
BOSS,ShortPassing,72,6
BOSS,ShortPassing,73,6
BOSS,ShortPassing,74,6
BOSS,ShortPassing,75,8
BOSS,ShortPassing,76,8
BOSS,ShortPassing,77,8
BOSS,ShortPassing,78,8
BOSS,ShortPassing,79,8
BOSS,ShortPassing,80,10
BOSS,ShortPassing,81,10
BOSS,ShortPassing,82,10
BOSS,ShortPassing,83,10
BOSS,ShortPassing,84,10
BOSS,ShortPassing,85,15
BOSS,ShortPassing,86,15
BOSS,ShortPassing,87,15
BOSS,ShortPassing,88,15
BOSS,ShortPassing,89,15
BOSS,ShortPassing,90,20
BOSS,ShortPassing,91,20
BOSS,ShortPassing,92,20
BOSS,ShortPassing,93,20
BOSS,ShortPassing,94,20
BOSS,ShortPassing,95,25
BOSS,ShortPassing,96,30
BOSS,ShortPassing,97,35
BOSS,ShortPassing,98,40
BOSS,ShortPassing,99,45
BOSS,LongPassing,40,1
BOSS,LongPassing,41,1
BOSS,LongPassing,42,1
BOSS,LongPassing,43,1
BOSS,LongPassing,44,1
BOSS,LongPassing,45,1
BOSS,LongPassing,46,1
BOSS,LongPassing,47,1
BOSS,LongPassing,48,1
BOSS,LongPassing,49,1
BOSS,LongPassing,50,1
BOSS,LongPassing,51,1
BOSS,LongPassing,52,1
BOSS,LongPassing,53,1
BOSS,LongPassing,54,1
BOSS,LongPassing,55,1
BOSS,LongPassing,56,1
BOSS,LongPassing,57,1
BOSS,LongPassing,58,1
BOSS,LongPassing,59,1
BOSS,LongPassing,60,2
BOSS,LongPassing,61,2
BOSS,LongPassing,62,2
BOSS,LongPassing,63,2
BOSS,LongPassing,64,3
BOSS,LongPassing,65,3
BOSS,LongPassing,66,3
BOSS,LongPassing,67,3
BOSS,LongPassing,68,3
BOSS,LongPassing,69,3
BOSS,LongPassing,70,4
BOSS,LongPassing,71,4
BOSS,LongPassing,72,4
BOSS,LongPassing,73,4
BOSS,LongPassing,74,4
BOSS,LongPassing,75,6
BOSS,LongPassing,76,6
BOSS,LongPassing,77,6
BOSS,LongPassing,78,6
BOSS,LongPassing,79,6
BOSS,LongPassing,80,7
BOSS,LongPassing,81,7
BOSS,LongPassing,82,7
BOSS,LongPassing,83,7
BOSS,LongPassing,84,7
BOSS,LongPassing,85,11
BOSS,LongPassing,86,11
BOSS,LongPassing,87,11
BOSS,LongPassing,88,11
BOSS,LongPassing,89,11
BOSS,LongPassing,90,15
BOSS,LongPassing,91,15
BOSS,LongPassing,92,15
BOSS,LongPassing,93,15
BOSS,LongPassing,94,15
BOSS,LongPassing,95,18
BOSS,LongPassing,96,22
BOSS,LongPassing,97,26
BOSS,LongPassing,98,30
BOSS,LongPassing,99,33
BOSS,Curve,40,1
BOSS,Curve,41,1
BOSS,Curve,42,1
BOSS,Curve,43,1
BOSS,Curve,44,1
BOSS,Curve,45,1
BOSS,Curve,46,1
BOSS,Curve,47,1
BOSS,Curve,48,1
BOSS,Curve,49,1
BOSS,Curve,50,1
BOSS,Curve,51,1
BOSS,Curve,52,1
BOSS,Curve,53,1
BOSS,Curve,54,1
BOSS,Curve,55,1
BOSS,Curve,56,1
BOSS,Curve,57,1
BOSS,Curve,58,1
BOSS,Curve,59,1
BOSS,Curve,60,1
BOSS,Curve,61,1
BOSS,Curve,62,1
BOSS,Curve,63,1
BOSS,Curve,64,2
BOSS,Curve,65,2
BOSS,Curve,66,2
BOSS,Curve,67,2
BOSS,Curve,68,2
BOSS,Curve,69,2
BOSS,Curve,70,3
BOSS,Curve,71,3
BOSS,Curve,72,3
BOSS,Curve,73,3
BOSS,Curve,74,3
BOSS,Curve,75,4
BOSS,Curve,76,4
BOSS,Curve,77,4
BOSS,Curve,78,4
BOSS,Curve,79,4
BOSS,Curve,80,5
BOSS,Curve,81,5
BOSS,Curve,82,5
BOSS,Curve,83,5
BOSS,Curve,84,5
BOSS,Curve,85,8
BOSS,Curve,86,8
BOSS,Curve,87,8
BOSS,Curve,88,8
BOSS,Curve,89,8
BOSS,Curve,90,11
BOSS,Curve,91,11
BOSS,Curve,92,11
BOSS,Curve,93,11
BOSS,Curve,94,11
BOSS,Curve,95,13
BOSS,Curve,96,16
BOSS,Curve,97,19
BOSS,Curve,98,22
BOSS,Curve,99,24
BOSS,Agility,40,2
BOSS,Agility,41,2
BOSS,Agility,42,2
BOSS,Agility,43,2
BOSS,Agility,44,2
BOSS,Agility,45,2
BOSS,Agility,46,2
BOSS,Agility,47,2
BOSS,Agility,48,2
BOSS,Agility,49,2
BOSS,Agility,50,2
BOSS,Agility,51,2
BOSS,Agility,52,2
BOSS,Agility,53,2
BOSS,Agility,54,2
BOSS,Agility,55,2
BOSS,Agility,56,2
BOSS,Agility,57,2
BOSS,Agility,58,2
BOSS,Agility,59,2
BOSS,Agility,60,3
BOSS,Agility,61,3
BOSS,Agility,62,3
BOSS,Agility,63,3
BOSS,Agility,64,4
BOSS,Agility,65,4
BOSS,Agility,66,4
BOSS,Agility,67,5
BOSS,Agility,68,5
BOSS,Agility,69,5
BOSS,Agility,70,6
BOSS,Agility,71,6
BOSS,Agility,72,6
BOSS,Agility,73,6
BOSS,Agility,74,6
BOSS,Agility,75,8
BOSS,Agility,76,8
BOSS,Agility,77,8
BOSS,Agility,78,8
BOSS,Agility,79,8
BOSS,Agility,80,10
BOSS,Agility,81,10
BOSS,Agility,82,10
BOSS,Agility,83,10
BOSS,Agility,84,10
BOSS,Agility,85,15
BOSS,Agility,86,15
BOSS,Agility,87,15
BOSS,Agility,88,15
BOSS,Agility,89,15
BOSS,Agility,90,20
BOSS,Agility,91,20
BOSS,Agility,92,20
BOSS,Agility,93,20
BOSS,Agility,94,20
BOSS,Agility,95,25
BOSS,Agility,96,30
BOSS,Agility,97,35
BOSS,Agility,98,40
BOSS,Agility,99,45
BOSS,Balance,40,1
BOSS,Balance,41,1
BOSS,Balance,42,1
BOSS,Balance,43,1
BOSS,Balance,44,1
BOSS,Balance,45,1
BOSS,Balance,46,1
BOSS,Balance,47,1
BOSS,Balance,48,1
BOSS,Balance,49,1
BOSS,Balance,50,1
BOSS,Balance,51,1
BOSS,Balance,52,1
BOSS,Balance,53,1
BOSS,Balance,54,1
BOSS,Balance,55,1
BOSS,Balance,56,1
BOSS,Balance,57,1
BOSS,Balance,58,1
BOSS,Balance,59,1
BOSS,Balance,60,2
BOSS,Balance,61,2
BOSS,Balance,62,2
BOSS,Balance,63,2
BOSS,Balance,64,3
BOSS,Balance,65,3
BOSS,Balance,66,3
BOSS,Balance,67,3
BOSS,Balance,68,3
BOSS,Balance,69,3
BOSS,Balance,70,4
BOSS,Balance,71,4
BOSS,Balance,72,4
BOSS,Balance,73,4
BOSS,Balance,74,4
BOSS,Balance,75,6
BOSS,Balance,76,6
BOSS,Balance,77,6
BOSS,Balance,78,6
BOSS,Balance,79,6
BOSS,Balance,80,7
BOSS,Balance,81,7
BOSS,Balance,82,7
BOSS,Balance,83,7
BOSS,Balance,84,7
BOSS,Balance,85,11
BOSS,Balance,86,11
BOSS,Balance,87,11
BOSS,Balance,88,11
BOSS,Balance,89,11
BOSS,Balance,90,15
BOSS,Balance,91,15
BOSS,Balance,92,15
BOSS,Balance,93,15
BOSS,Balance,94,15
BOSS,Balance,95,18
BOSS,Balance,96,22
BOSS,Balance,97,26
BOSS,Balance,98,30
BOSS,Balance,99,33
BOSS,Reactions,40,1
BOSS,Reactions,41,1
BOSS,Reactions,42,1
BOSS,Reactions,43,1
BOSS,Reactions,44,1
BOSS,Reactions,45,1
BOSS,Reactions,46,1
BOSS,Reactions,47,1
BOSS,Reactions,48,1
BOSS,Reactions,49,1
BOSS,Reactions,50,1
BOSS,Reactions,51,1
BOSS,Reactions,52,1
BOSS,Reactions,53,1
BOSS,Reactions,54,1
BOSS,Reactions,55,1
BOSS,Reactions,56,1
BOSS,Reactions,57,1
BOSS,Reactions,58,1
BOSS,Reactions,59,1
BOSS,Reactions,60,1
BOSS,Reactions,61,1
BOSS,Reactions,62,1
BOSS,Reactions,63,1
BOSS,Reactions,64,2
BOSS,Reactions,65,2
BOSS,Reactions,66,2
BOSS,Reactions,67,2
BOSS,Reactions,68,2
BOSS,Reactions,69,2
BOSS,Reactions,70,3
BOSS,Reactions,71,3
BOSS,Reactions,72,3
BOSS,Reactions,73,3
BOSS,Reactions,74,3
BOSS,Reactions,75,4
BOSS,Reactions,76,4
BOSS,Reactions,77,4
BOSS,Reactions,78,4
BOSS,Reactions,79,4
BOSS,Reactions,80,5
BOSS,Reactions,81,5
BOSS,Reactions,82,5
BOSS,Reactions,83,5
BOSS,Reactions,84,5
BOSS,Reactions,85,8
BOSS,Reactions,86,8
BOSS,Reactions,87,8
BOSS,Reactions,88,8
BOSS,Reactions,89,8
BOSS,Reactions,90,11
BOSS,Reactions,91,11
BOSS,Reactions,92,11
BOSS,Reactions,93,11
BOSS,Reactions,94,11
BOSS,Reactions,95,13
BOSS,Reactions,96,16
BOSS,Reactions,97,19
BOSS,Reactions,98,22
BOSS,Reactions,99,24
BOSS,BallControl,40,1
BOSS,BallControl,41,1
BOSS,BallControl,42,1
BOSS,BallControl,43,1
BOSS,BallControl,44,1
BOSS,BallControl,45,1
BOSS,BallControl,46,1
BOSS,BallControl,47,1
BOSS,BallControl,48,1
BOSS,BallControl,49,1
BOSS,BallControl,50,1
BOSS,BallControl,51,1
BOSS,BallControl,52,1
BOSS,BallControl,53,1
BOSS,BallControl,54,1
BOSS,BallControl,55,1
BOSS,BallControl,56,1
BOSS,BallControl,57,1
BOSS,BallControl,58,1
BOSS,BallControl,59,1
BOSS,BallControl,60,2
BOSS,BallControl,61,2
BOSS,BallControl,62,2
BOSS,BallControl,63,2
BOSS,BallControl,64,3
BOSS,BallControl,65,3
BOSS,BallControl,66,3
BOSS,BallControl,67,3
BOSS,BallControl,68,3
BOSS,BallControl,69,3
BOSS,BallControl,70,4
BOSS,BallControl,71,4
BOSS,BallControl,72,4
BOSS,BallControl,73,4
BOSS,BallControl,74,4
BOSS,BallControl,75,6
BOSS,BallControl,76,6
BOSS,BallControl,77,6
BOSS,BallControl,78,6
BOSS,BallControl,79,6
BOSS,BallControl,80,7
BOSS,BallControl,81,7
BOSS,BallControl,82,7
BOSS,BallControl,83,7
BOSS,BallControl,84,7
BOSS,BallControl,85,11
BOSS,BallControl,86,11
BOSS,BallControl,87,11
BOSS,BallControl,88,11
BOSS,BallControl,89,11
BOSS,BallControl,90,15
BOSS,BallControl,91,15
BOSS,BallControl,92,15
BOSS,BallControl,93,15
BOSS,BallControl,94,15
BOSS,BallControl,95,18
BOSS,BallControl,96,22
BOSS,BallControl,97,26
BOSS,BallControl,98,30
BOSS,BallControl,99,33
BOSS,Dribbling,40,2
BOSS,Dribbling,41,2
BOSS,Dribbling,42,2
BOSS,Dribbling,43,2
BOSS,Dribbling,44,2
BOSS,Dribbling,45,2
BOSS,Dribbling,46,2
BOSS,Dribbling,47,2
BOSS,Dribbling,48,2
BOSS,Dribbling,49,2
BOSS,Dribbling,50,2
BOSS,Dribbling,51,2
BOSS,Dribbling,52,2
BOSS,Dribbling,53,2
BOSS,Dribbling,54,2
BOSS,Dribbling,55,2
BOSS,Dribbling,56,2
BOSS,Dribbling,57,2
BOSS,Dribbling,58,2
BOSS,Dribbling,59,2
BOSS,Dribbling,60,3
BOSS,Dribbling,61,3
BOSS,Dribbling,62,3
BOSS,Dribbling,63,3
BOSS,Dribbling,64,4
BOSS,Dribbling,65,4
BOSS,Dribbling,66,4
BOSS,Dribbling,67,5
BOSS,Dribbling,68,5
