Playstyle,Attr1,Val1,Attr2,Val2,Attr3,Val3
FinesseShot,Finishing,75,Vision,80,Curve,80
ChipShot,Reactions,75,BallControl,80,Composure,80
PowerShot,Finishing,80,ShotPower,75,LongShots,80
DeadBall,ShotPower,80,Crossing,80,FKAccuracy,75
PrecisionHeader,HeadingAccuracy,75,Jumping,80,Strength,80
Acrobatic,Volleys,75,Agility,80,Reactions,80
LowDrivenShot,Finishing,75,ShotPower,80,Composure,80
Gamechanger,Finishing,75,Curve,80,Composure,80
IncisivePass,Vision,75,LongPassing,80,Curve,80
PingedPass,ShortPassing,80,LongPassing,85,,
LongBallPass,Vision,85,LongPassing,80,,
TikiTaka,ShortPassing,75,Reactions,80,BallControl,80
WhippedPass,Crossing,80,LongPassing,75,,
Inventive,LongPassing,75,Curve,80,Composure,80
Jockey,Agility,75,DefAwareness,80,StandingTackle,80
Block,Agility,80,Reactions,80,Strength,75
Intercept,Interceptions,80,Aggression,80,,
Anticipate,Balance,80,DefAwareness,75,StandingTackle,80
SlideTackle,SlidingTackle,75,Aggression,80,,
AerialFortress,HeadingAccuracy,75,Jumping,75,,
Technical,Balance,80,BallControl,75,Dribbling,80
Rapid,Acceleration,75,SprintSpeed,80,Dribbling,80
FirstTouch,BallControl,75,Composure,80,,
Trickster,Acceleration,80,Agility,75,Dribbling,80
PressProven,BallControl,80,Composure,80,Strength,75
QuickStep,Acceleration,75,SprintSpeed,80,Stamina,80
Relentless,Agility,80,Stamina,80,,
LongThrow,Vision,75,Strength,80,,
Bruiser,DefAwareness,80,Strength,75,Aggression,80
Enforcer,Balance,80,BallControl,80,Strength,75
