Archetype,Specialisation,Playstyle+,Attr1,Val1,Attr2,Val2,Attr3,Val3
Magician,Magician+,FirstTouch+,Acceleration,90,BallControl,92,Composure,90
Magician,HotShot,PowerShot+,Finishing,90,ShotPower,92,LongShots,90
Magician,Invader,IncisivePass+,AttackPositioning,90,Vision,90,LongPassing,92
Finisher,Finisher+,ChipShot+,Reactions,90,BallControl,90,Composure,92
Finisher,Presser,Relentless+,Agility,90,Stamina,92,Aggression,90
Finisher,Hunter,Gamechanger+,AttackPositioning,90,Finishing,90,Curve,92
Target,Target+,Acrobatic+,Volleys,90,Agility,90,Jumping,92
Target,Roamer,IncisivePass+,Vision,90,ShortPassing,92,LongPassing,90
Target,Runner,Enforcer+,SprintSpeed,92,AttackPositioning,90,Strength,90
Recycler,Recycler+,PingedPass+,ShortPassing,92,LongPassing,90,Strength,90
Recycler,Driver,Enforcer+,SprintSpeed,90,Balance,92,Strength,90
Recycler,Thief,Anticipate+,Interceptions,90,DefAwareness,90,StandingTackle,92
Maestro,Maestro+,Technical+,Vision,92,Balance,90,Dribbling,90
Maestro,Crasher,FirstTouch+,Finishing,90,BallControl,90,Composure,92
Maestro,Heartbeat,Relentless+,Agility,92,Stamina,90,Aggression,90
Creator,Creator+,WhippedPass+,Vision,92,Crossing,90,LongPassing,90
Creator,Architect,DeadBall+,ShotPower,90,Crossing,92,FKAccuracy,90
Creator,Sniper,PowerShot+,Finishing,90,ShotPower,92,LongShots,90
Spark,Spark+,QuickStep+,Acceleration,90,SprintSpeed,90,Agility,92
Spark,Joker,WhippedPass+,AttackPositioning,90,Crossing,92,LongPassing,90
Spark,Ace,ChipShot+,Finishing,92,Reactions,90,BallControl,90
Progressor,Progressor+,Jockey+,LongPassing,90,DefAwareness,90,StandingTackle,92
Progressor,Pioneer,PingedPass+,ShortPassing,90,LongPassing,90,Dribbling,92
Progressor,Janitor,QuickStep+,Acceleration,90,SprintSpeed,90,SlidingTackle,92
Boss,Boss+,SlideTackle+,SlidingTackle,92,Strength,90,Aggression,90
Boss,Enforcer,PressProven+,Vision,90,BallControl,90,Composure,92
Boss,Capitano,Block+,Agility,90,Reactions,90,DefAwareness,92
Engine,Engine+,Intercept+,Interceptions,92,StandingTackle,90,Aggression,90
Engine,Everywhere,TikiTaka+,ShortPassing,90,Reactions,92,BallControl,90
Engine,Gadget,Technical+,Balance,92,BallControl,90,Dribbling,90
Marauder,Marauder+,SlideTackle+,SprintSpeed,92,SlidingTackle,90,Aggression,90
Marauder,Speedster,Rapid+,Acceleration,90,SprintSpeed,92,Dribbling,90
Marauder,Athlete,Bruiser+,DefAwareness,90,Strength,92,Aggression,90
